Cell,BestBatchIdx,STRFGain,STRFLatency,OutputAdaptation,On__ROnGSYN,Off__ROnGSYN,On__SOnOffGSYN,Off__SOnOffGSYN,SOnOff__ROnGSYN
108,1,0.0531073249876499,0.0252817403525114,0.0121819563210011,0.0112540926784277,0.00481995986774564,0,0,0.174777269363403
109,6,0.280078709125519,0.0381418652832508,0.00313025247305632,0.00149818090721965,0.00115039385855198,0.0353446006774902,0,0.111452467739582
110,2,0.200021103024483,0.0399999991059303,0.000546243216376752,0,0.00132577971089631,0,0,0.250268816947937
111,14,0.227294370532036,0.039336945861578,0,3.91825524275191e-05,0,0,0,0.153108239173889
112,10,0.220287889242172,0.0399999991059303,0,0,0.0134305702522397,0,0.137894749641418,0.21247136592865
113,6,0.0237074829638004,9.99999974737875e-05,0.000570402189623564,0.123605377972126,0.0482571795582771,0.238786593079567,0,0.19528067111969
114,2,0.010649474337697,0.00256231497041881,0.013081026263535,0.0709929764270782,0.0675760880112648,0.261065512895584,0.137325033545494,0.134270951151848
115,12,0.383321553468704,0.0304183159023523,0.0110486382618546,0,0,0.0125792808830738,0,0.0501870959997177
116,10,0.2185427993536,0.0399999991059303,0,0.000578935898374766,0.000370144553016871,1.03620896585443e-10,0,0.360517233610153
117,15,0.264979332685471,0.0399999991059303,0.0127377649769187,0.00111185177229345,4.01215547753964e-05,0,0,0.0660909563302994
118,7,0.000100001234386582,0.000100000252132304,0.000523276336025447,0.00791058875620365,0,0.394503265619278,0.4751116335392,0.143525555729866
119,2,0.00331572769209743,0.0109737748280168,0.00862095970660448,0.0115643031895161,0.04762102663517,0.0460546873509884,0.172520622611046,0.177682906389236
120,10,0.00231874408200383,0.0103608090430498,0.0124800819903612,0.0641632229089737,0.0371998772025108,0.306375473737717,0.0379163585603237,0.1629558801651
121,6,0.0195090472698212,0.00248578726314008,0.00467907218262553,0.0663639605045319,0.0654552355408669,0.246754616498947,0.159706145524979,0.08006601780653
122,5,0.36262771487236,0.0298731550574303,0.00364008126780391,0.00328074069693685,0.00226726941764355,4.64799986693576e-12,0,0.217615857720375
123,1,0.0475323535501957,0.0221725013107061,0.0120700877159834,0,0,0,0,0.129401609301567
124,6,0.049343716353178,0.0144552253186703,0.014049956575036,0.0143194478005171,0.0068800812587142,0.0238117408007383,0.287247955799103,0.1458520591259
125,10,0.00178154255263507,0.0104300649836659,0.0113834142684937,0.0692753866314888,0.0514144152402878,0.179633930325508,0.160343140363693,0.185396730899811
126,5,0.00858488027006388,0.0112770786508918,0.00791781675070524,0.020796874538064,0.0391698554158211,0.39991220831871,0.206589356064796,0.263307303190231
127,9,0.00852801091969013,0.00879933405667543,0.00821379572153091,0.0455609895288944,0.018019950017333,0.222859561443329,0.311927616596222,0.184402957558632
128,14,0.00633501354604959,0.0124831916764379,0.00450707739219069,0.0132898055016994,0.0422530435025692,0.325557887554169,0.235204264521599,0.190059214830399
129,7,0.00419837329536676,0.00453676050528884,0.00718648871406913,0.116627603769302,2.71521855665924e-07,0.236114755272865,0.0630350038409233,0.180982872843742
130,13,0.329838871955872,0.030688464641571,2.27833443204872e-05,0.000654153700452298,0,0.00259919301606715,0,0.207179695367813
131,11,0.205699533224106,0.0399999991059303,0.000402736972318962,0.00165886653121561,0.00315044913440943,4.02595601300959e-09,0,0.129047736525536
132,11,0.00685834232717752,0.0174248330295086,0.00449557835236192,0.0302857868373394,0.00912620220333338,0.393948584794998,0.0053066797554493,0.155309394001961
133,15,0.0989199802279472,0.0053470809943974,0.0132413133978844,0.0410519056022167,0.00914043746888638,0.883298993110657,0.00195713108405471,0.238240510225296
134,14,0.000787341210525483,0.00483269430696964,0.000556779443286359,0.0152870435267687,0.00308494851924479,0.630647242069244,1.06749373784965e-08,0.0961672216653824
135,2,0.058019857853651,0.0250313971191645,0.00669271685183048,0,0.000866873713675886,0,0,0.0989869832992554
136,9,0.0110535603016615,0.00669721839949489,0.00468999706208706,0.0181717798113823,0.0513399429619312,0.0298686865717173,0.192144230008125,0.129464149475098
137,6,0.0105956336483359,0.00517381634563208,0.0106426766142249,0.0416888482868671,0.053664393723011,0.163448095321655,0.214353710412979,0.222114697098732
138,11,0.0122893899679184,0.000122142184409313,0.0679196193814278,0.00412146747112274,0.0432370267808437,0.044726874679327,0.122425049543381,0.185926213860512
139,12,0.298671633005142,0.0399999991059303,1.35649045773789e-07,0,0.00742871547117829,0,0,0.0796494409441948
140,11,0.0215014684945345,0.00141133950091898,0.00483339745551348,0.0575090907514095,0.072613388299942,0.172553241252899,0.210125491023064,0.0516590029001236
141,8,0.0103502450510859,0.00361513299867511,0.0124302096664906,0.0322127416729927,0.0457166656851768,0.0175076387822628,0.175598174333572,0.240344643592834
142,13,0.0105785457417369,0.0202995650470257,0.0114422710612416,0.0208860449492931,0.00672221183776855,0.355827510356903,0.00275570340454578,0.18519152700901
143,3,0.0020787175744772,0.0114535726606846,0.00512546813115478,0.0619109682738781,0.0202946905046701,0.0685910880565643,0.244382962584496,0.22491118311882
144,6,0.0136743113398552,0.00210777670145035,0.00924946181476116,0.0707404166460037,0.0538787059485912,0.141394376754761,0.170190215110779,0.216210454702377
